"*NF* Caspofungin Acetate"	"canc70i"	"70"
"*NF* Cefixime Suspension"	"CEFI100L"	"5"
"*NF* Cefotaxime"	"CETX2I"	"2"
"*NF* Cefotetan"	"CEFOT2I"	"1"
"*NF* Cefoxitin Sodium"	"MEFOX1I"	"1"
"*NF* Ceftaroline"	"CEFT600I"	"200"
"*NF* Ceftaroline"	"CEFT600I"	"300"
"*NF* Ceftaroline"	"CEFT600I"	"400"
"*NF* Ceftaroline"	"CEFT600I"	"600"
"*NF* Ciprofloxacin 0.3% Ophth Oint"	"CIPR0.3EO"	"1"
"*NF* Collagenase Oint"	"STLTP"	"1"
"*NF* Cyclosporine"	"CYCL0.05ES"	"0.4"
"*NF* Cyclosporine"	"CYCL0.05ES"	"1"
"*NF* DOMPERIDON"		"10"
"*NF* Dasatinib"	"DASA100"	"100"
"*NF* Deferasirox"	"DEFE500"	"2000"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"10"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"12.5"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"15"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"17"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"18"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"7.5"
"*NF* Diazoxide Suspension"	"DIAZ50L"	"8.5"
"*NF* Digoxin (Lanoxicaps)"	"DIGO100C"	"0.1"
"*NF* Diltiazem SR"	"DILT120SR"	"120"
"*NF* Diltiazem SR"	"DILT60SR"	"60"
"*NF* Diltiazem SR"	"DILT90SR"	"270"
"*NF* Diltiazem SR"	"DILT90SR"	"90"
"*NF* Dolasetron Mesylate"	"DOLA12.5I"	"12.5"
"*NF* Dornase Alfa Inh. Soln."	"PULMOZYME"	"1.25"
"*NF* Enfuvirtide"	"ENFU90I"	"90"
"*NF* Entacapone"	"ENTA200"	"200"
"*NF* Epirubicin"	"EPIR50I"	"46"
"*NF* Erlotinib"	"ERLO150"	"150"
"*NF* Erlotinib"	"ERLO25"	"150"
"*NF* Erlotinib"	"ERLO25"	"25"
"*NF* Ertapenem Sodium"	"ERTA1I"	"0.5"
"*NF* Ertapenem Sodium"	"ERTA1I"	"1"
"*NF* Ertapenem Sodium"	"ERTA1I"	"1000"
"*NF* Ertapenem Sodium"	"ERTA1I"	"500"
"*NF* Esomeprazole"	"ESOM20"	"20"
"*NF* Esomeprazole"	"ESOM20"	"40"
"*NF* Estraderm"	"ESTR5P"	"0.1"
"*NF* Estradiol Transdermal Patch"	"ESTR0.05T"	"0.05"
"*NF* Famciclovir"	"FAMC250"	"250"
"*NF* Famciclovir"	"FAMC500"	"500"
"*NF* Fenofibrate"	"FENO48"	"48"
"*NF* Fenofibrate"	"FENO54"	"162"
"*NF* Fenoldopam Mesylate"	"FELO20I"	"10"
"*NF* Fenoldopam Mesylate"	"FELO20I"	"20"
"*NF* Fenoldopam Mesylate"	"FENO10I"	"10"
"*NF* Gelclair"	"GELCLAIR"	"1"
"*NF* Gelclair"	"GELCLAIR"	"15"
"*NF* Glimepiride"	"GLIM2"	"2"
"*NF* Glycopyrrolate"	"GLYC1"	"1"
"*NF* Guaifenesin LA"	"GUAI600"	"600"
"*NF* Guaifenesin LA"	"GUAI600T"	"1200"
"*NF* Guaifenesin LA"	"GUAI600T"	"600"
"*NF* Imatinib Mesylate"	"IMAT100"	"100"
"*NF* Imatinib Mesylate"	"IMAT100"	"400"
"*NF* Imatinib Mesylate"	"IMAT400"	"400"
"*NF* Imatinib"		"600"
"*NF* Imiglucerase"	"IMIG400I"	"1600"
"*NF* Interferon Alfacon-1"	"INTE15I"	"15"
"*NF* Iopanoic Acid"	"IOPA500"	"500"
"*NF* Irbesartan"	"IRBE150"	"300"
"*NF* Iron Sucrose"	"VENO100I"	"100"
"*NF* Ivermectin"	"INVE3"	"6"
"*NF* Levalbuterol Neb"	"LEVA0.63L"	"0.63"
"*NF* Levalbuterol Neb"	"LEVA0.63L"	"1.26"
"*NF* Levalbuterol Soln"	"LEVA0.63L"	"0.63"
"*NF* Levalbuterol Soln"	"LEVA0.63L"	"1.26"
"*NF* Levetiracetam"	"LEVE500I"	"1000"
"*NF* Levetiracetam"	"LEVE500I"	"500"
"*NF* Levocarnitine"	"LEVO1000I"	"950"
"*NF* Lidocaine 5% Patch"	"LIDO5T"	"3"
"*NF* Lidocaine Patch 5%"	"LIDODERM"	"1"
"*NF* Lidocaine Patch 5%"	"LIDODERM"	"143"
"*NF* Micafungin"	"MICA50I"	"100"
"*NF* Micafungin"	"MICA50I"	"150"
"*NF* Micafungin"	"MICA50I"	"50"
"*NF* Miralax"	"MIRA17"	"17"
"*NF* Moxifloxacin"	"MOXI400PM"	"400"
"*NF* Mycophenolate Sodium"	"MYFO180"	"720"
"*NF* Nafcillin Sodium"	"NAFC2F"	"2"
"*NF* Niacin"	"NIAC500"	"1500"
"*NF* Niacin"	"NIAC500SR"	"1500"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"1"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"100"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"125"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"2"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"25"
"*NF* Nicardipine HCl IV"	"NICA2.5I"	"50"
"*NF* Nifedipine XL"	"NIFXL30"	"30"
"*NF* Nitroglycerin Ointment"	"NITR02O"	"1"
"*NF* Novolog"		"1"
"*NF* Ofloxacin 0.3% Ophth Soln"	"OFLO0.3ES"	"1"
"*NF* Paroxetine CR"	"PARO25CR"	"25"
"*NF* Pediatric Vitamins ADC"	"TRIVIT"	"1"
"*NF* Pegaspargase"	"PEGA75I"	"6325"
"*NF* Pentostatin"	"PENT10I"	"2"
"*NF* Pentostatin"	"PENT10I"	"2.8"
"*NF* Pentostatin"	"PENT10I"	"3.4"
"*NF* Pentostatin"	"PENT10I"	"3.7"
"*NF* Pentostatin"	"PENT10I"	"4"
"*NF* Pentostatin"	"PENT10I"	"6.9"
"*NF* Pentostatin"	"PENT10I"	"7.12"
"*NF* Pentostatin"	"PENT10I"	"7.2"
"*NF* Pentostatin"	"PENT10I"	"8.8"
"*NF* Phenytoin Sodium **Brand Name ONLY**"		"100"
"*NF* Potassium Chloride"	"NEOKCL1.3L"	"4.5"
"*NF* Pramipexole"	"PRAM.25"	"0.25"
"*NF* Pramipexole"	"PRAM125"	"0.125"
"*NF* Pregabalin"	"PREG25"	"100"
"*NF* Pregabalin"	"PREG25"	"50"
"*NF* Quinine Sulfate"	"QUIN260"	"260"
"*NF* Rasburicase"	"RASB1.5I"	"12"
"*NF* Rasburicase"	"RASB1.5I"	"15"
"*NF* Rasburicase"	"RASB1.5I"	"3"
"*NF* Rasburicase"	"RASB1.5I"	"4.5"
"*NF* Rasburicase"	"RASB1.5I"	"6"
"*NF* Rasburicase"	"RASB1.5I"	"7.5"
"*NF* Renacidin Soln"	"RENA500IR"	"120"
"*NF* Risedronate Sodium"	"RISE35"	"35"
"*NF* Rocuronium Bromide"	"ROCU50I"	"0"
"*NF* Rocuronium Bromide"	"ROCU50I"	"10"
"*NF* Rocuronium Bromide"	"ROCU50I"	"50"
"*NF* Rocuronium"	"ROCU100I"	"10"
"*NF* Rocuronium"	"ROCU100I"	"100"
"*NF* Rofecoxib"	"ROFE25"	"25"
"*NF* Salmeterol-Fluticasone"	"ADVA500/50"	"1"
"*NF* Sildenafil Citrate"	"SILD50"	"25"
"*NF* Sodium Chloride 5% (Hypertonic)"	"MURO5O"	"1"
"*NF* Sorafenib"	"SORA200"	"200"
"*NF* Sumatriptan"	"SUMA25"	"25"
"*NF* Sunitinib"		"50"
"*NF* Sunitinib"	"SUNI25"	"50"
"*NF* Sunitinib"	"SUNI50"	"50"
"*NF* TIMOLOL  HEMIHYDRATE (BETIMOL)"		"1"
"*NF* Tacrolimus 0.1% Ointment"	"TACR0.1O"	"1"
"*NF* Tacrolimus Suspension"	"TACR1"	"3"
"*NF* Tacrolimus Suspension"	"TACR5"	"5"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"1"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"1.5"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"2.5"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"3"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"5"
"*NF* Tacrolimus Suspension"	"TACRSUSP"	"8"
"*NF* Temozolomide"	"TEMO100"	"100"
"*NF* Temozolomide"	"TEMO100"	"160"
"*NF* Temozolomide"	"TEMO100"	"200"
"*NF* Temozolomide"	"TEMO100"	"300"
"*NF* Temozolomide"	"TEMO20"	"20"
"*NF* Temozolomide"	"TEMO20"	"40"
"*NF* Temozolomide"	"TEMO20"	"60"
"*NF* Temozolomide"	"TEMO5"	"10"
"*NF* Temozolomide"	"TEMO5"	"15"
"*NF* Temozolomide"	"TEMO5"	"40"
"*NF* Temozolomide"	"TEMO5"	"5"
"*NF* Timentin"	"TIME31I"	"3.1"
"*NF* Tobramycin Soln"	"TOBR300H"	"300"
"*NF* Triazolam"	"TRIA25"	"0.25"
"*NF* Urea"	"UREA20C"	"20"
"*NF* VYTONE CREAM"		"1 "
"*NF* Valacyclovir"	"VALA500"	"500"
"*NF* Valsartan"	"VALS80"	"80"
"*NF* Warfarin"	"WARF5I"	"1"
"*NF* Warfarin"	"WARF5I"	"2"
"*NF* Warfarin"	"WARF5I"	"3"
"*NF* Warfarin"	"WARF5I"	"4"
"*NF* Warfarin"	"WARF5I"	"5"
"*NF* Zaleplon"	"ZALE10"	"10"
"*NF*ESOMEPRAZOLE "		"40"
"*nf"	"CILOS100"	"100"
"*nf"	"MOXI400"	"400"
"*nf"	"TRIA25"	"0.25"
"*nf*  Loteprednol 0.2% ophth"		"1"
"*nf* Lanolin (Hydrous)"		"0.05"
"*nf* Loteprednol 0.5% ophth"		"1"
"*nf* Loteprednol 0.5% ophth"		"1.25"
"*nf*"	"GUAI600"	"600"
"*nfFloxin"	"OFLO0.3ES"	"10 "
"0.45 % Sodium Chloride"	"0.45NS3000I"	"1000"
"0.45 % Sodium Chloride"	"0.45NS3000I"	"3000"
"0.45% Sodium Chloride"	"NS451000"	"0"
"0.45% Sodium Chloride"	"NS451000"	"1000"
"0.45% Sodium Chloride"	"NS451000"	"250"
"0.45% Sodium Chloride"	"NS451000"	"500"
"0.45% Sodium Chloride"	"NS45500"	"1000"
"0.45% Sodium Chloride"	"NS45500"	"500"
"0.83% Sodium Chloride"	"NICABAGSODCHL"	"200"
"0.9% Sodium Chloride (EXCEL BAG)"	"EXCELNS1000"	"1000"
"0.9% Sodium Chloride (EXCEL BAG)"	"EXCELNS250"	"100"
"0.9% Sodium Chloride (EXCEL BAG)"	"EXCELNS250"	"250"
"0.9% Sodium Chloride (EXCEL BAG)"	"EXCELNS500"	"500"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"0"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"100"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"15
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"150"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"200"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"250"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"50"
"0.9% Sodium Chloride (Mini Bag Plus)"	"NS/MBP100I"	"6100"
"0.9% Sodium Chloride P.F. (Syringe)"	"NSSYR10"	"6"
"0.9% Sodium Chloride"	"GENTBASE1"	"50"
"0.9% Sodium Chloride"	"MIDAZBASE"	"100"
"0.9% Sodium Chloride"	"NICABAGNS"	"200"
"0.9% Sodium Chloride"	"NS100"	"1"
"0.9% Sodium Chloride"	"NS100"	"100"
"0.9% Sodium Chloride"	"NS100"	"100-200"
"0.9% Sodium Chloride"	"NS100"	"100-250"
"0.9% Sodium Chloride"	"NS100"	"1100"
"0.9% Sodium Chloride"	"NS100"	"112"
"0.9% Sodium Chloride"	"NS100"	"125"
"0.9% Sodium Chloride"	"NS100"	"130"
"0.9% Sodium Chloride"	"NS100"	"15
"0.9% Sodium Chloride"	"NS100"	"150"
"0.9% Sodium Chloride"	"NS100"	"2"
"0.9% Sodium Chloride"	"NS100"	"200"
"0.9% Sodium Chloride"	"NS100"	"212"
"0.9% Sodium Chloride"	"NS100"	"250"
"0.9% Sodium Chloride"	"NS100"	"400"
"0.9% Sodium Chloride"	"NS100"	"50"
"0.9% Sodium Chloride"	"NS100"	"500"
"0.9% Sodium Chloride"	"NS100"	"75"
"0.9% Sodium Chloride"	"NS1000"	"0"
"0.9% Sodium Chloride"	"NS1000"	"100"
"0.9% Sodium Chloride"	"NS1000"	"1000"
"0.9% Sodium Chloride"	"NS1000"	"11
"0.9% Sodium Chloride"	"NS1000"	"1500"
"0.9% Sodium Chloride"	"NS1000"	"2000"
"0.9% Sodium Chloride"	"NS1000"	"250"
"0.9% Sodium Chloride"	"NS1000"	"3000"
"0.9% Sodium Chloride"	"NS1000"	"400"
"0.9% Sodium Chloride"	"NS1000"	"4000"
"0.9% Sodium Chloride"	"NS1000"	"4500"
"0.9% Sodium Chloride"	"NS1000"	"50"
"0.9% Sodium Chloride"	"NS1000"	"500"
"0.9% Sodium Chloride"	"NS1000"	"500-1000"
"0.9% Sodium Chloride"	"NS1000"	"5000"
"0.9% Sodium Chloride"	"NS1000"	"750"
"0.9% Sodium Chloride"	"NS1000"	"850"
"0.9% Sodium Chloride"	"NS1000OXYT"	"1000"
"0.9% Sodium Chloride"	"NS100CG"	"0"
"0.9% Sodium Chloride"	"NS100CG"	"0.5"
"0.9% Sodium Chloride"	"NS100CG"	"1"
"0.9% Sodium Chloride"	"NS100CG"	"1-"
"0.9% Sodium Chloride"	"NS100CG"	"1-1"
"0.9% Sodium Chloride"	"NS100CG"	"1-2"
"0.9% Sodium Chloride"	"NS100CG"	"1-21"
"0.9% Sodium Chloride"	"NS100CG"	"1.5"
"0.9% Sodium Chloride"	"NS100CG"	"11-2"
"0.9% Sodium Chloride"	"NS100CG"	"2"
"0.9% Sodium Chloride"	"NS100CG"	"2-4"
"0.9% Sodium Chloride"	"NS100CG"	"3"
"0.9% Sodium Chloride"	"NS100H"	"100"
"0.9% Sodium Chloride"	"NS150"	"100"
"0.9% Sodium Chloride"	"NS150"	"150"
"0.9% Sodium Chloride"	"NS150"	"150-250"
"0.9% Sodium Chloride"	"NS150"	"200"
"0.9% Sodium Chloride"	"NS150"	"250"
"0.9% Sodium Chloride"	"NS150"	"300"
"0.9% Sodium Chloride"	"NS150"	"50"
"0.9% Sodium Chloride"	"NS150"	"500"
"0.9% Sodium Chloride"	"NS25"	"100"
"0.9% Sodium Chloride"	"NS25"	"25"
"0.9% Sodium Chloride"	"NS25"	"250"
"0.9% Sodium Chloride"	"NS25"	"50"
"0.9% Sodium Chloride"	"NS250"	"0"
"0.9% Sodium Chloride"	"NS250"	"1"
"0.9% Sodium Chloride"	"NS250"	"10"
"0.9% Sodium Chloride"	"NS250"	"100"
"0.9% Sodium Chloride"	"NS250"	"100-250"
"0.9% Sodium Chloride"	"NS250"	"100-400"
"0.9% Sodium Chloride"	"NS250"	"1000"
"0.9% Sodium Chloride"	"NS250"	"125"
"0.9% Sodium Chloride"	"NS250"	"150"
"0.9% Sodium Chloride"	"NS250"	"197"
"0.9% Sodium Chloride"	"NS250"	"20"
"0.9% Sodium Chloride"	"NS250"	"200"
"0.9% Sodium Chloride"	"NS250"	"200-400"
"0.9% Sodium Chloride"	"NS250"	"202"
"0.9% Sodium Chloride"	"NS250"	"208"
"0.9% Sodium Chloride"	"NS250"	"210"
"0.9% Sodium Chloride"	"NS250"	"25-500"
"0.9% Sodium Chloride"	"NS250"	"250
"0.9% Sodium Chloride"	"NS250"	"250"
"0.9% Sodium Chloride"	"NS250"	"250-250"
"0.9% Sodium Chloride"	"NS250"	"250-500"
"0.9% Sodium Chloride"	"NS250"	"260"
"0.9% Sodium Chloride"	"NS250"	"300"
"0.9% Sodium Chloride"	"NS250"	"350"
"0.9% Sodium Chloride"	"NS250"	"40"
"0.9% Sodium Chloride"	"NS250"	"50"
"0.9% Sodium Chloride"	"NS250"	"500"
"0.9% Sodium Chloride"	"NS250"	"500-750"
"0.9% Sodium Chloride"	"NS250"	"60"
"0.9% Sodium Chloride"	"NS250"	"750"
"0.9% Sodium Chloride"	"NS3000"	"1000"
"0.9% Sodium Chloride"	"NS3000"	"3000"
"0.9% Sodium Chloride"	"NS50"	"0"
"0.9% Sodium Chloride"	"NS50"	"1"
"0.9% Sodium Chloride"	"NS50"	"100"
"0.9% Sodium Chloride"	"NS50"	"12"
"0.9% Sodium Chloride"	"NS50"	"12.5"
"0.9% Sodium Chloride"	"NS50"	"150"
"0.9% Sodium Chloride"	"NS50"	"1650"
"0.9% Sodium Chloride"	"NS50"	"20"
"0.9% Sodium Chloride"	"NS50"	"200"
"0.9% Sodium Chloride"	"NS50"	"25"
"0.9% Sodium Chloride"	"NS50"	"250"
"0.9% Sodium Chloride"	"NS50"	"40"
"0.9% Sodium Chloride"	"NS50"	"46"
"0.9% Sodium Chloride"	"NS50"	"47"
"0.9% Sodium Chloride"	"NS50"	"50"
"0.9% Sodium Chloride"	"NS50"	"50-100"
"0.9% Sodium Chloride"	"NS50"	"500"
"0.9% Sodium Chloride"	"NS500"	"0"
"0.9% Sodium Chloride"	"NS500"	"100"
"0.9% Sodium Chloride"	"NS500"	"1000"
"0.9% Sodium Chloride"	"NS500"	"200"
"0.9% Sodium Chloride"	"NS500"	"200-500"
"0.9% Sodium Chloride"	"NS500"	"250"
"0.9% Sodium Chloride"	"NS500"	"250-500"
"0.9% Sodium Chloride"	"NS500"	"250-750"
"0.9% Sodium Chloride"	"NS500"	"300"
"0.9% Sodium Chloride"	"NS500"	"350"
"0.9% Sodium Chloride"	"NS500"	"385"
"0.9% Sodium Chloride"	"NS500"	"400"
"0.9% Sodium Chloride"	"NS500"	"50"
"0.9% Sodium Chloride"	"NS500"	"500"
"0.9% Sodium Chloride"	"NS500"	"500-1000"
"0.9% Sodium Chloride"	"NS500"	"500-500"
"0.9% Sodium Chloride"	"NS500"	"500-700"
"0.9% Sodium Chloride"	"NS500"	"500-750"
"0.9% Sodium Chloride"	"NS500"	"520"
"0.9% Sodium Chloride"	"NS500"	"531"
"0.9% Sodium Chloride"	"NS500"	"580"
"0.9% Sodium Chloride"	"NS500"	"615"
"0.9% Sodium Chloride"	"NS500"	"627"
"0.9% Sodium Chloride"	"NS500"	"700"
"0.9% Sodium Chloride"	"NS500"	"740"
"0.9% Sodium Chloride"	"NS500"	"750"
"0.9% Sodium Chloride"	"NS500"	"93.3"
"0.9% Sodium Chloride"	"NS500"	"94.27"
"1"	"BUPI25I"	"30"
"1"	"FENT2I"	"100"
"1"	"LIDEPF220I"	"1.5"
"1"	"LIDO120I"	"20"
"1"	"LIDOPF130I"	"1.5"
"1"	"LIDPF1I"	"8"
"1/2 NS"	"0.45NS3000I"	"1000"
"1/2 NS"	"0.45NS3000I"	"3000"
"1/2 NS"	"1/2NS250I"	"100"
"1/2 NS"	"1/2NS250I"	"1000"
"1/2 NS"	"1/2NS250I"	"175"
"1/2 NS"	"1/2NS250I"	"200"
"1/2 NS"	"1/2NS250I"	"250"
"1/2 NS"	"1/2NS250I"	"50"
"1/2 NS"	"NS451000"	"0"
"1/2 NS"	"NS451000"	"1000"
"1/2 NS"	"NS451000"	"2000"
"1/2 NS"	"NS451000"	"250"
"1/2 NS"	"NS451000"	"300"
"1/2 NS"	"NS451000"	"3000"
"1/2 NS"	"NS451000"	"350"
"1/2 NS"	"NS451000"	"400"
"1/2 NS"	"NS451000"	"500"
"1/2 NS"	"NS451000"	"660"
"1/2 NS"	"NS451000"	"750"
"1/2 NS"	"NS451000"	"i1000"
"1/2 NS"	"NS45500"	"1000"
"1/2 NS"	"NS45500"	"200"
"1/2 NS"	"NS45500"	"250"
"1/2 NS"	"NS45500"	"500"
"1/4 NS"	"1/4NS100"	"250"
"1/4 NS"	"1/4NS1000"	"1000"
"2"	"H1B1ED"	"2500"
"23.4% Sodium Chloride"	"ICPKIT"	"120"
"250 mL Bottle"	"BTL250"	"250"
"300 mcg Vial"	"VIAL300"	"0.5"
"300 mcg Vial"	"VIAL300"	"1"
"300 mcg Vial"	"VIAL300"	"2"
"5 Syringes (NS)"	"SEND5SYR"	"0"
"5 Syringes (NS)"	"SEND5SYR"	"250"
"5 Syringes (NS)"	"SEND5SYR"	"300"
"5 Syringes (NS)"	"SEND5SYR"	"500"
"5% Dextrose (EXCEL BAG)"	"D5W250E"	"0.25"
"5% Dextrose (EXCEL BAG)"	"D5W250E"	"250"
"5% Dextrose (EXCEL BAG)"	"D5W250E"	"50"
"5% Dextrose (EXCEL BAG)"	"D5W500E"	"500"
"5% Dextrose (Non DEPH)"	"NDEPHBAG100"	"100"
"5% Dextrose"	"CIPROBASE"	"100"
"5% Dextrose"	"CIPROBASE"	"200"
"5% Dextrose"	"D5W"	"100"
"5% Dextrose"	"D5W"	"1000"
"5% Dextrose"	"D5W"	"125"
"5% Dextrose"	"D5W"	"150"
"5% Dextrose"	"D5W"	"25"
"5% Dextrose"	"D5W"	"250"
"5% Dextrose"	"D5W"	"400"
"5% Dextrose"	"D5W"	"500"
"5% Dextrose"	"D5W"	"550"
"5% Dextrose"	"D5W"	"600"
"5% Dextrose"	"D5W100"	"1"
"5% Dextrose"	"D5W100"	"100"
"5% Dextrose"	"D5W100"	"1100"
"5% Dextrose"	"D5W100"	"120"
"5% Dextrose"	"D5W100"	"125"
"5% Dextrose"	"D5W100"	"127.5"
"5% Dextrose"	"D5W100"	"150"
"5% Dextrose"	"D5W100"	"200"
"5% Dextrose"	"D5W100"	"25"
"5% Dextrose"	"D5W100"	"250"
"5% Dextrose"	"D5W100"	"50"
"5% Dextrose"	"D5W100"	"500"
"5% Dextrose"	"D5W100"	"60"
"5% Dextrose"	"D5W100"	"85"
"5% Dextrose"	"D5W1000"	"1000"
"5% Dextrose"	"D5W1000"	"2000"
"5% Dextrose"	"D5W1000"	"3000"
"5% Dextrose"	"D5W1000"	"500"
"5% Dextrose"	"D5W1000"	"500-1000"
"5% Dextrose"	"D5W150"	"100"
"5% Dextrose"	"D5W150"	"125"
"5% Dextrose"	"D5W150"	"127.5"
"5% Dextrose"	"D5W150"	"135"
"5% Dextrose"	"D5W150"	"137"
"5% Dextrose"	"D5W150"	"150"
"5% Dextrose"	"D5W150"	"150-250"
"5% Dextrose"	"D5W150"	"170"
"5% Dextrose"	"D5W150"	"175"
"5% Dextrose"	"D5W150"	"200"
"5% Dextrose"	"D5W150"	"210"
"5% Dextrose"	"D5W150"	"212.5"
"5% Dextrose"	"D5W150"	"225"
"5% Dextrose"	"D5W150"	"235"
"5% Dextrose"	"D5W150"	"250"
"5% Dextrose"	"D5W150"	"255"
"5% Dextrose"	"D5W150"	"300"
"5% Dextrose"	"D5W150"	"50"
"5% Dextrose"	"D5W150"	"500"
"5% Dextrose"	"D5W150"	"75"
"5% Dextrose"	"D5W25"	"1"
"5% Dextrose"	"D5W25"	"16"
"5% Dextrose"	"D5W25"	"25"
"5% Dextrose"	"D5W25"	"50"
"5% Dextrose"	"D5W250"	"1"
"5% Dextrose"	"D5W250"	"100"
"5% Dextrose"	"D5W250"	"112.5"
"5% Dextrose"	"D5W250"	"115"
"5% Dextrose"	"D5W250"	"120"
"5% Dextrose"	"D5W250"	"125"
"5% Dextrose"	"D5W250"	"1250"
"5% Dextrose"	"D5W250"	"127.5"
"5% Dextrose"	"D5W250"	"130"
"5% Dextrose"	"D5W250"	"135"
"5% Dextrose"	"D5W250"	"137"
"5% Dextrose"	"D5W250"	"150"
"5% Dextrose"	"D5W250"	"162.5"
"5% Dextrose"	"D5W250"	"175"
"5% Dextrose"	"D5W250"	"200"
"5% Dextrose"	"D5W250"	"212"
"5% Dextrose"	"D5W250"	"212.5"
"5% Dextrose"	"D5W250"	"225"
"5% Dextrose"	"D5W250"	"230"
"5% Dextrose"	"D5W250"	"240"
"5% Dextrose"	"D5W250"	"250"
"5% Dextrose"	"D5W250"	"250-250"
"5% Dextrose"	"D5W250"	"250-500"
"5% Dextrose"	"D5W250"	"255"
"5% Dextrose"	"D5W250"	"2551"
"5% Dextrose"	"D5W250"	"297.5"
"5% Dextrose"	"D5W250"	"300"
"5% Dextrose"	"D5W250"	"310"
"5% Dextrose"	"D5W250"	"320"
"5% Dextrose"	"D5W250"	"322.5"
"5% Dextrose"	"D5W250"	"325"
"5% Dextrose"	"D5W250"	"350"
"5% Dextrose"	"D5W250"	"37.5"
"5% Dextrose"	"D5W250"	"400"
"5% Dextrose"	"D5W250"	"425"
"5% Dextrose"	"D5W250"	"430"
"5% Dextrose"	"D5W250"	"460"
"5% Dextrose"	"D5W250"	"50"
"5% Dextrose"	"D5W250"	"500"
"5% Dextrose"	"D5W250"	"500-1000"
"5% Dextrose"	"D5W250"	"600"
"5% Dextrose"	"D5W250"	"62.5"
"5% Dextrose"	"D5W250"	"700"
"5% Dextrose"	"D5W250"	"75"
"5% Dextrose"	"D5W250"	"750"
"5% Dextrose"	"D5W3000"	"3000"
"5% Dextrose"	"D5W50"	"0"
"5% Dextrose"	"D5W50"	"100"
"5% Dextrose"	"D5W50"	"150"
